"TRAN_ID","FUND_ID","TRAN_CODE","INVESTMENT_TYPE","PRICE","LOCATION","TRADE_TYPE","INVEST_MANAGER","MESSAGE_TYPE","LOCAL_CURRENCY","GC_ID","PROCESS_GROUP","SETTLE_DATE","RECE"
"FT4235JLZIK0OL","MTX1","BUY","","","CAD","Security","BLACKROCK","MT541","CAD","88CRE67RNT","IMPFAX1","2018-09-12","2018-09-12 15.10.00"
"FT4235JLZIMLZC","MTX1","BUY","","","CAD","Security","BLACKROCK","MT541","CAD","88CRE67RNU","IMPFAX1","2018-09-12","2018-09-12 15.10.00"
"FT4235JLZIO5VP","MTX1","BUY","","","CAD","Security","BLACKROCK","MT541","CAD","88CRE67RNV","IMPFAX1","2018-09-12","2018-09-12 15.10.00"
"FT4235JLZIQ3QP","MTX1","BUY","","","CAD","Security","BLACKROCK","MT541","CAD","88CRE67RNX","IMPFAX1","2018-09-12","2018-09-12 15.10.00"
"FT4235JLZIPHJA","MTX1","BUY","","","CAD","Security","BLACKROCK","MT541","CAD","88CRE67RNW","IMPFAX1","2018-09-12","2018-09-12 15.10.00"
"FT4235JLZIRIYT","MTX1","BUY","","","CAD","Security","BLACKROCK","MT541","CAD","88CRE67RNY","IMPFAX1","2018-09-12","2018-09-12 15.20.00"
"FT4235JLZIS3YZ","MTX1","BUY","","","CAD","Security","BLACKROCK","MT541","CAD","88CRE67RNZ","IMPFAX1","2018-09-12","2018-09-12 15.20.00"
"FT4235JLZITENX","MTX1","BUY","","","CAD","Security","BLACKROCK","MT541","CAD","88CRE67RO0","IMPFAX1","2018-09-12","2018-09-12 15.20.00"
"FT4235JLZJ0V9H","MTX1","BUY","","","CAD","Security","BLACKROCK","MT541","CAD","88CRE67RO1","IMPFAX1","2018-09-12","2018-09-12 15.20.00"
"FT3877JLZK5UA2","TSM1","BUY","","","DTC","Security","AMERICAN CAPITAL","MT541","USD","88CRE67RO3","IMP ATIVO CAPITAL MANAGEMENT","2018-09-12","2018-09-12 15.50.01"
"FTT74F2FCB","TP16","FREESELL","MF","","DTC","Security","AMERICAN CAPITAL","MT542","USD","88CRE67ROK","IMP ATIVO CAPITAL MANAGEMENT","2018-05-28","2018-09-12 23.20.14"
"FTT74F3481","TP16","FREESELL","MF","","DTC","Security","AMERICAN CAPITAL","MT542","USD","88CRE67ROR","IMP ATIVO CAPITAL MANAGEMENT","2018-05-28","2018-09-12 23.32.19"
"FTT74F36F1","TP16","FREESELL","MF","","DTC","Security","AMERICAN CAPITAL","MT542","USD","88CRE67ROZ","IMP ATIVO CAPITAL MANAGEMENT","2018-05-28","2018-09-12 23.38.43"
"FTT0BB245F","HGG1","FREESELL","","","DTC","Security","AMERICAN CAPITAL","MT542","","88CRE67RPH","IMP ATIVO CAPITAL MANAGEMENT","2018-05-28","2018-09-13 01.27.38"
"FTT0BB24AD","HGG1","FREESELL","","","DTC","Security","AMERICAN CAPITAL","MT542","","88CRE67RPI","IMP ATIVO CAPITAL MANAGEMENT","2018-05-28","2018-09-13 01.28.16"
"FTT74F8367","TP16","FREESELL","MF","","DTC","Security","AMERICAN CAPITAL","MT542","USD","88CRE67RPJ","IMP ATIVO CAPITAL MANAGEMENT","2018-05-28","2018-09-13 01.34.17"
"FTT0BB2FB0","HGG1","FREESELL","","","DTC","Security","AMERICAN CAPITAL","MT542","","88CRE67RPK","IMP ATIVO CAPITAL MANAGEMENT","2018-05-28","2018-09-13 01.56.36"
"FTT0BB2FFE","HGG1","FREESELL","","","DTC","Security","AMERICAN CAPITAL","MT542","","88CRE67RPL","IMP ATIVO CAPITAL MANAGEMENT","2018-05-28","2018-09-13 01.57.13"
"FTTB45ED6D","HGG1","FREESELL","","","DTC","Security","AMERICAN CAPITAL","MT542","","88CRE67RPM","IMP ATIVO CAPITAL MANAGEMENT","2018-05-28","2018-09-13 02.01.44"
"FTTB45EDE1","HGG1","FREESELL","","","DTC","Security","AMERICAN CAPITAL","MT542","","88CRE67RPN","IMP ATIVO CAPITAL MANAGEMENT","2018-05-28","2018-09-13 02.03.00"
"FT4499JM0628DL","MTX1","BUY","","","CAD","Security","BLACKROCK","MT541","USD","88CRE67RPO","IMPFAX1","2018-10-07","2018-09-13 02.10.00"
